Property A,Property B,Soil Type
1.41438,1784.35,0
1.58157,1855.97,2
0.93623,2016.88,0
1.31486,1581.14,0
1.36494,4789.74,1
1.28069,2438.44,1
1.00424,1435.34,0
1.32518,2329.09,1
1.73296,3382.67,1
1.36467,4571.2,1
1.2618,1802.89,0
1.46984,1389.83,0
1.40934,1638.56,0
1.35232,2350.61,0
1.52778,-175.27,2
1.56256,1195.41,2
1.28546,141.6,2
1.60071,2538.72,2
1.29847,2959.91,0
1.35022,4298.14,1
1.32787,1807.31,0
1.64119,1683.95,2
1.15916,1234.39,0
1.18881,3185.72,1
1.35838,4344.69,1
1.35509,2150.04,0
1.39124,2847.18,0
1.83498,1800.66,1
1.64656,787.48,2
1.29299,1054.04,0
1.7971,2413.38,2
1.49505,2126.06,1
1.31843,2730.62,0
1.56487,2255.06,0
1.02816,473.92,1
1.15054,1516.19,0
1.46099,1063.45,0
1.27396,1158.83,1
1.47006,1276.08,0
1.47369,2806.61,1
1.49903,1384.55,0
1.17547,3324.6,0
1.31122,3491.67,0
1.37981,1702.07,0
1.6345,2668.37,0
1.3411,2598.61,1
1.58702,891.11,1
1.42351,2041.65,2
1.61337,1461.58,2
1.26464,1571.34,0
1.30788,2920.35,0
1.14673,2615.99,0
1.41044,1842.72,0
1.55332,2305.28,0
1.21022,1675.95,0
1.52398,2729.03,0
1.35434,1113.24,0
1.5536,2128.05,2
1.38604,1528.11,0
1.53521,1693.44,0
1.46345,4070.12,1
1.35919,2765.88,1
1.55656,2871.83,0
1.5766,1860.79,2
1.5922,-56.24,1
1.27762,2647.58,0
1.17035,1613.21,0
1.59557,2397.97,0
1.21842,3233.88,0
1.17215,3228.33,1
1.61322,3678.18,0
1.43364,2179.57,0
1.57668,2059.03,0
1.67306,3776.49,1
1.35877,1358.07,0
1.18429,436.69,1
1.49938,797.49,0
1.3985,641.56,0
1.35629,451.75,0
1.26568,1013.45,0
1.39637,1414.51,0
1.56106,2777.14,0
1.32503,1801.93,0
1.62212,3274.64,1
0.7322,3466.04,1
1.35513,1633.34,0
1.74735,1654.54,2
1.48625,1669.97,0
1.48074,804.33,2
1.47764,2617.06,0
1.40197,2092.63,0
1.69379,1063.14,2
1.10666,1703.79,0
0.92107,3108.62,0
1.64338,3218.18,1
1.42052,1934.83,1
1.51582,2719.29,0
1.33889,2388.31,0
1.63662,1796.45,2
1.35311,3605.73,1
1.56966,1958.51,1
1.26993,2877.85,0
1.23889,2355.7,1
1.63122,774.78,2
1.50603,2493.71,2
1.48524,4000.95,1
1.28881,653.91,0
1.49328,2350.55,1
1.45011,549.88,0
1.19598,1356.95,0
1.71466,3286.56,1
1.44293,2010.64,0
1.32466,2059.46,0
1.25912,2931.98,0
1.79536,721.74,2
0.95938,2687.51,1
1.49354,1350.04,0
1.75636,4164.87,1
1.23181,2188.22,0
1.58441,1830.41,2
1.38016,4400.56,1
1.30131,1877.87,0
1.22977,3167.66,0
1.91585,1736.27,2
1.44189,2214.96,0
1.35059,1754.75,0
1.77525,3458.29,1
1.45549,1389.59,0
1.3937,616.69,0
1.27911,2883.36,0
1.45801,1491.26,0
1.48371,2710.4,0
1.58616,1644.08,0
1.40099,2827.22,0
1.65079,2935.65,0
1.4221,2919.62,0
1.56627,3034.36,0
1.15563,3977.53,1
1.39214,-631.24,1
1.13279,-310.42,1
1.58118,2463.46,0
1.37232,1346.33,0
1.38314,1945.27,0
1.74024,3447.83,1
1.66094,1817.26,1
1.43915,1703.77,0
1.81038,1481.1,2
1.57044,2816.97,0
1.48739,3514.51,0
1.46165,2851.97,0
1.4213,1416.01,1
1.5946,2309.79,0
1.31125,2209.28,0
1.23702,1001.17,0
1.70518,1473.54,2
1.41308,2688.81,1
1.45818,2897.39,0
1.30101,712.07,1
1.19839,1918.07,0
1.29485,2133.73,0
1.47226,-580.67,2
1.31286,1101.24,0
1.51463,1979.35,0
0.96342,2325.27,0
1.29712,1092.71,0
1.73209,1747.23,2
1.54771,4679.27,1
1.00791,4184.25,1
1.00771,2776.59,0
1.87126,1977.19,1
1.23613,1805.16,0
1.37085,2451.46,0
1.56835,2291.31,0
1.45303,2647.6,0
1.28362,419.53,0
1.56824,2523.66,0
1.54598,1843.69,0
1.43708,1882.93,0
1.46272,591.39,0
1.33611,315.29,1
1.76745,1107.14,2
1.47173,1991.87,0
1.32657,1967.45,0
1.24654,2694.67,0
1.33223,2443.74,0
1.21391,1494.73,0
1.33938,2564.04,0
1.45891,2892.22,1
1.35474,217.92,1
1.28707,1809.93,0
1.58857,2068.02,0
1.43036,1877.17,0
1.59246,1042.02,2
1.24124,387.92,1
1.12525,1551.46,1
1.21971,1383.03,0
1.68641,2878.35,2
1.05997,2523.83,2
1.28979,2671.01,0
1.28742,1294.46,1
1.66018,515.88,2
1.41131,956.74,0
0.79697,1348.61,0
1.27125,2075.26,0
1.34418,1646.44,1
1.60211,2037.23,2
1.47513,1469.37,0
1.63982,1039.03,2
1.67396,1204.13,1
1.51083,3053.76,0
1.20749,3705.18,1
1.45022,2666.48,0
1.4039,2184.6,1
1.09825,1909.16,0
1.57091,1073.97,0
1.43411,1288.07,0
1.60957,1587.99,2
1.42719,2605.65,0
1.50288,449.67,0
1.58888,841.0,2
1.1343,2128.13,0
1.15091,2729.92,0
1.32034,2859.39,0
1.59649,2784.47,0
1.59794,1318.52,1
1.11807,1965.1,0
1.3333,1570.62,1
1.01339,1489.55,0
1.51922,772.4,1
1.4249,2037.65,1
1.49299,3869.45,1
1.3656,2074.0,0
1.29653,1993.66,0
1.35754,1811.85,0
1.54089,2223.16,2
1.472,2198.24,0
1.58479,2895.66,0
1.65218,1672.85,2
1.83717,1794.2,2
1.27596,2408.86,0
1.27404,1844.68,0
1.30117,2533.42,0
1.32357,3474.68,0
1.25984,2426.55,0
1.65724,888.52,2
1.37862,2071.37,2
1.44426,2489.81,0
1.26909,1823.99,0
1.54023,2750.56,0
1.59888,1322.74,2
1.45,1134.45,0
1.10964,1286.39,2
1.40129,3100.34,0
1.30659,2788.93,0
1.52085,1163.41,2
1.37267,1742.49,0
1.53227,1448.3,2
1.42964,1741.29,0
1.42322,1183.86,1
1.21401,1676.53,0
1.54761,2930.69,0
1.255,3148.23,0
1.79698,2388.31,2
1.27748,1360.43,0
1.56706,1716.42,0
0.96422,-422.63,1
1.17613,2613.13,0
1.7155,3805.61,1
1.38239,2056.41,1
1.43665,1843.39,0
1.26409,3387.53,0
1.74652,1136.77,1
1.60779,1270.23,0
1.35287,4212.79,1
1.26449,3529.63,1
1.26225,2338.49,0
1.4513,2746.15,1
1.46392,2599.49,0
1.6494,1296.7,2
1.61299,1631.9,2
1.44778,1606.32,1
1.48366,1867.3,0
1.51892,683.68,1
1.55441,2884.78,1
1.69336,1366.27,0
1.39868,1075.01,0
1.18514,757.04,1
1.51199,2084.17,1
1.48385,3205.49,0
1.15667,1637.27,0
1.1789,2475.41,0
1.10869,1981.64,1
1.64332,3027.45,0
1.45518,2523.87,0
1.27016,1740.35,1
1.36204,999.26,0
1.09737,3239.33,0
1.15954,1974.18,0
1.3806,-450.75,1
0.93911,3320.94,1
1.49401,-558.58,2
1.18467,1677.22,0
1.21737,2122.15,1
1.32124,1079.36,0
1.69895,996.0,2
1.09009,911.75,0
1.42901,1895.48,0
1.40492,2051.87,0
1.58001,1757.16,2
1.76351,3178.45,1
1.31882,2653.87,0
1.48725,1370.3,2
1.30905,1819.73,0
1.55324,805.74,1
1.41738,2001.67,0
1.21943,3153.31,1
1.26064,2000.49,0
1.48207,-34.49,0
1.58836,2042.59,2
1.26604,2047.83,0
1.53973,1405.65,2
1.25039,764.17,1
1.42266,2151.49,1
0.96954,2035.21,0
1.66894,1814.33,2
1.61365,1871.44,2
1.52172,3240.34,1
1.22067,2615.31,1
1.13692,2638.31,0
1.31565,1612.3,0
1.39565,1085.21,0
1.26794,1846.83,0
1.26459,2256.74,0
1.0646,800.03,1
1.33566,1943.3,1
1.62388,662.55,2
1.37948,3429.77,1
1.15871,1513.5,1
1.62077,2403.61,2
1.46169,2677.07,0
1.37233,1459.7,0
1.55007,564.4,0
1.32693,3007.03,0
1.67441,3595.67,1
1.36643,2407.83,0
1.39433,2244.95,1
1.50747,2869.3,0
1.33579,3322.37,0
1.7836,1718.99,2
1.32041,3262.79,0
1.65739,2902.34,0
1.67346,965.04,1
1.13035,2399.63,0
1.33299,1712.25,0
1.63013,1234.95,2
1.46884,719.18,1
1.28994,961.12,0
1.4724,2457.77,0
1.45326,2334.29,0
1.19423,1409.53,1
1.35665,1206.88,0
1.32882,2765.44,0
1.4,3489.1,0
1.45846,3958.34,1
1.38782,781.78,1
1.32144,2991.38,1
1.15082,3222.69,0
1.39815,1777.87,0
1.24232,1515.88,1
1.29398,2825.52,1
1.44286,3537.08,0
1.0742,1753.99,0
1.18951,2744.58,1
1.49459,1640.48,2
1.38267,1840.67,0
1.44975,2254.31,0
1.2945,2699.67,0
1.33912,2476.36,0
1.98477,1457.87,2
1.2617,2136.09,1
1.60814,3783.24,1
1.24832,1183.35,0
1.64566,1309.06,2
1.47707,1754.7,0
1.62001,1795.54,2
1.34969,2321.66,0
1.21232,3005.94,1
1.24716,2572.52,1
1.21744,2024.89,0
1.14115,1998.64,0
0.96831,410.96,1
1.58185,2641.9,0
1.59583,3562.03,1
1.29356,2352.33,0
2.00344,-2004.98,1
1.91922,332.85,1
2.15386,317.42,2
1.92861,515.48,2
1.93083,-709.93,1
1.92113,283.87,2
1.81273,1141.75,1
1.98973,1624.7,2
1.76203,2061.22,2
1.96849,2915.18,2
1.88196,-970.77,0
1.95531,1253.32,2
1.97469,953.46,1
1.92844,1888.8,2
1.9235,4357.12,1
2.13828,347.4,2
1.85477,-838.28,2
2.02189,2349.09,1
1.92148,2624.38,2
1.96228,1415.12,0
1.89262,1687.84,1
1.62697,482.99,2
1.89477,977.11,2
1.88068,528.24,2
1.90503,1738.34,2
1.89117,-312.14,2
1.91789,2300.88,1
1.98347,-517.38,2
1.97057,1682.58,1
1.89618,-1546.35,2
1.89135,2416.24,1
1.78435,333.06,2
1.60856,1450.76,1
2.04981,-441.16,2
1.81128,2543.92,2
1.90431,4070.05,1
1.88041,728.0,2
1.89512,1802.68,2
1.96691,2221.57,2
1.87789,443.23,2
1.89335,526.87,2
1.89392,1119.5,2
1.93171,1397.03,2
2.07878,-156.95,1
1.91081,283.1,2
1.95038,462.66,2
1.82915,2105.11,2
1.98176,2418.02,2
2.08169,3163.47,1
2.06784,942.09,2
1.8921,-2013.04,2
1.93365,654.58,2
2.11166,1820.03,2
1.88251,599.11,2
1.89992,900.73,2
1.94699,1714.06,1
1.81375,1193.56,2
1.80116,1046.33,2
1.97592,1349.16,2
2.00699,879.06,2
1.94675,-145.08,2
2.02548,1202.24,2
2.01716,153.49,2
1.86955,349.09,2
1.88874,985.88,1
1.87508,623.64,2
1.93459,1440.53,2
1.80545,4349.24,1
1.8491,211.93,1
1.81363,2412.88,1
2.01662,402.02,2
2.03158,-1160.21,2
1.64093,1430.15,2
1.94434,0.89,2
1.8525,2063.33,2
2.0507,2617.23,1
2.02404,625.51,1
1.93934,2255.78,1
1.93007,1745.0,2
2.02581,1628.07,2
2.03064,-21.96,2
1.87184,1505.24,1
1.81027,1084.05,2
1.88958,1306.73,1
1.76592,2159.82,2
1.87177,1727.54,2
1.98617,290.83,2
1.89895,-819.77,2
1.79013,3030.68,1
1.90271,2200.28,1
1.99983,2303.33,2
1.92815,2509.02,2
1.97509,239.89,2
1.89814,1007.91,1
2.03109,2973.47,1
1.94638,2865.62,1
1.8229,1183.73,2
1.86136,641.67,2
1.83125,1816.16,2
1.92651,1341.03,2
1.71529,772.93,0
2.00161,1015.01,0
1.69953,2497.91,2
1.74435,577.84,2
1.87799,1292.47,1
1.85448,730.45,2
1.91674,854.36,2
1.82713,267.11,2
1.87672,1139.73,1
1.99306,2530.58,2
2.08692,2390.18,2
2.07807,2456.56,2
1.91041,1754.3,2
1.86339,614.92,1
1.93218,1805.51,2
1.77983,1156.48,1
1.81082,1653.5,2
1.98059,720.74,2
1.85476,1174.47,2
1.82042,44.98,2
1.97879,2179.75,2
1.85707,-107.3,2
2.02228,737.33,2
1.91396,2685.25,2
1.8525,1542.34,2
1.94786,-4.25,2
1.97503,-271.14,2
1.85763,3401.53,1
1.87237,-317.33,1
1.78192,3441.85,1
1.9517,-335.98,0
1.88517,366.79,2
1.85149,1556.35,2
1.91673,325.61,1
1.93193,3059.16,1
1.98511,532.04,1
1.87108,2117.04,2
1.82668,942.6,2
1.85256,-631.83,1
2.01807,3592.25,1
1.92066,151.69,2
1.84453,-1251.85,2
1.83174,1570.14,2
1.74912,3292.19,1
2.1196,449.97,2
1.8374,988.76,1
2.04754,1988.08,2
2.08058,2271.88,1
2.20922,1646.55,2
1.86217,185.97,2
1.94239,2108.89,2
1.8537,-233.3,2
1.80952,2658.48,2
1.93954,-392.58,2
1.90357,1481.95,2
2.08676,-589.71,2
1.99344,613.26,2
1.91874,2145.14,1
1.84363,240.8,2
1.93073,-2786.54,2
1.68335,196.64,2
1.88092,951.18,1
1.8902,3727.47,1
1.85871,3297.98,1
1.93765,893.26,1
1.88567,1781.23,1
1.88285,2582.63,2
1.83177,2197.9,2
2.09126,1708.12,2
1.77028,771.42,2
1.98604,321.82,2
1.8684,966.17,2
2.0976,2980.05,1
1.91352,681.77,1
2.03163,2624.99,1
1.79975,1301.68,2
1.92689,1178.57,2
1.81945,1571.13,2
2.05856,2002.57,1
1.9849,2048.61,2
1.93334,161.37,1
1.95021,2294.88,1
1.80971,-563.04,2
1.78997,1844.7,2
1.94487,-107.16,2
1.92495,3970.39,1
1.85028,3663.05,1
1.89187,730.17,1
1.84849,2167.69,2
1.86218,940.51,2
1.91562,2976.66,2
1.88933,-237.48,2
1.97449,1295.62,1
1.92779,1577.05,2
1.85695,2603.83,2
1.79799,3669.16,1
1.92571,2079.73,2
1.99217,347.74,2
1.96208,-574.11,2
1.8087,2106.63,2
1.92706,-0.51,2
1.89178,-875.56,1
2.00233,1068.44,2
1.81822,2232.98,2
1.93175,464.3,2
1.78325,1630.74,1
1.64048,1200.13,2
1.94322,1641.6,1
2.02266,550.43,1
1.86199,611.39,2
1.88736,1652.06,1
1.89311,2957.14,1
1.89911,381.06,2
1.84177,-546.74,0
1.92557,862.25,2
1.88387,1045.16,2
1.98415,3587.19,1
1.89223,1704.99,2
2.01192,433.58,2
1.9347,3503.6,1
1.69155,1456.81,2
1.79167,279.92,2
1.83698,2137.52,2
1.99759,2273.74,2
1.89185,2401.17,2
1.9143,196.07,2
1.93034,2051.63,2
1.98548,1577.74,1
1.8804,1240.39,2
1.85286,2209.93,1
2.047,1606.8,1
1.87602,1343.09,2
1.9599,199.72,2
1.96086,-1529.75,2
1.93273,2178.16,2
1.80675,1934.37,2
1.96403,2376.51,2
2.03812,1924.15,0
1.97215,485.86,2
1.76444,152.92,2
1.89661,-389.46,2
1.88808,1572.0,2
1.89691,1748.22,2
1.97531,2272.01,2
1.91123,3487.27,1
2.05143,-244.71,2
1.78034,3083.26,1
1.79592,1881.18,2
2.04358,1722.88,2
2.0726,1342.14,2
1.85705,687.78,2
1.91468,-1489.88,2
1.88224,2198.68,2
1.94979,-39.34,1
1.87612,1331.49,0
1.97238,-353.08,0
1.92153,2484.4,2
1.91338,1365.61,2
1.88409,499.95,2
1.90971,1520.98,1
1.9595,3323.84,1
1.98882,815.23,2
1.9884,-2611.78,2
2.08025,1648.12,2
1.92527,1703.19,2
1.77734,2819.78,2
1.96426,1292.13,1
1.81522,457.11,1
1.79235,3723.55,1
1.76571,2071.18,2
1.81787,1498.78,2
2.07548,2700.21,1
1.75912,-668.9,2
2.00957,1732.3,2
1.77398,1648.09,2
2.01439,2231.82,2
1.95765,1726.37,2
1.97473,-273.22,2
1.90029,1899.76,2
2.07778,1353.26,2
1.94281,839.16,2
1.83189,1875.47,2
1.92924,1977.19,2
1.92934,1092.97,1
1.78938,1510.21,2
1.91212,2149.03,2
2.0557,1286.47,2
1.80248,1258.76,2
1.83557,-570.89,2
1.97082,3365.91,1
1.92687,680.6,2
2.02118,-1301.26,2
2.07793,-890.31,1
1.80474,-36.94,2
1.87046,1527.37,2
1.87316,746.59,1
2.03895,2010.51,2
1.81672,815.35,2
2.03806,-266.91,2
2.07732,2561.37,0
0.79191,3982.66,1
0.88559,3461.89,1
0.66779,2692.63,1
0.75537,3407.18,1
